# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    0.525    0.494    5.873    1.724    0.683    5.244      0.000      2.420      2.400      1.910
    3.102    0.263    3.329    1.724    0.683    5.244      0.000      2.770      2.400      5.370
    0.627    0.883    5.657    3.102    0.263    3.329      0.000      6.410      0.900      6.410
    0.627    0.883    5.657    3.782    0.575    2.990      0.000      8.140      0.900      7.970
    3.782    0.575    2.990    0.669    0.544    5.189      0.000     12.820      2.400     11.260
    2.317    1.005    3.987    0.005    0.502    6.022      0.000     19.570      1.350     19.830
    2.043    0.763    3.742    0.005    0.502    6.022      0.000     21.480      0.750     21.740
    1.927    0.767    4.158    2.043    0.763    3.742      0.000     23.560      0.900     23.040
    5.997    0.440    0.700    1.971    0.514    3.552      0.000     32.910      0.750     33.170
    1.058    0.545    5.963    5.754    1.070    0.109      0.000     38.800      0.900     39.320
    3.976    0.897    2.347    5.754    1.070    0.109      0.000     41.220      0.900     39.320
    3.976    0.897    2.347    2.819    0.476    3.881      0.000     42.950      0.450     43.040
    1.927    0.767    4.158    1.971    0.514    3.552      0.150     26.590      0.300     26.670
    1.971    0.514    3.552    1.397    0.601    5.531      0.300     26.670      1.050     27.450
    1.971    0.514    3.552    1.397    0.601    5.531      1.050     27.450      2.400     26.850
    1.397    0.601    5.531    1.927    0.767    4.158      0.300     26.670      2.250     25.890
    1.058    0.545    5.963    5.997    0.440    0.700      0.300     35.510      1.500     34.120
    0.669    0.544    5.189    4.455    0.725    2.293      0.450     15.160      1.500     14.200
    4.455    0.725    2.293    2.317    1.005    3.987      0.600     15.420      1.350     15.680
    2.043    0.763    3.742    2.855    0.461    3.558      0.750     21.740      0.900     23.040
    2.855    0.461    3.558    0.005    0.502    6.022      0.750     21.740      1.350     21.390
    5.997    0.440    0.700    1.849    0.475    4.658      0.750     33.170      1.350     33.690
    1.849    0.475    4.658    1.971    0.514    3.552      0.750     33.170      1.350     32.300
    1.323    0.597    5.498    0.627    0.883    5.657      0.900      6.410      0.900      7.970
    1.323    0.597    5.498    3.102    0.263    3.329      0.900      6.410      1.950      6.150
    3.782    0.575    2.990    1.323    0.597    5.498      0.900      7.970      2.400      9.010
    1.927    0.767    4.158    2.855    0.461    3.558      0.900     23.040      1.950     23.300
    1.058    0.545    5.963    3.976    0.897    2.347      0.900     39.320      2.400     39.660
    4.455    0.725    2.293    2.554    0.508    3.890      1.350     15.680      1.500     14.900
    2.554    0.508    3.890    2.317    1.005    3.987      1.350     15.680      2.100     15.930
    2.317    1.005    3.987    4.896    0.404    0.941      1.350     19.830      2.400     19.050
    4.896    0.404    0.941    0.005    0.502    6.022      1.350     19.830      1.500     19.920
    0.005    0.502    6.022    3.029    0.532    3.591      1.350     21.390      1.500     19.920
    3.029    0.532    3.591    2.855    0.461    3.558      1.350     21.390      2.100     21.650
    1.971    0.514    3.552    4.725    0.756    1.392      1.350     32.300      1.650     31.610
    4.725    0.756    1.392    1.849    0.475    4.658      1.350     32.300      1.350     33.690
    5.997    0.440    0.700    4.725    0.756    1.392      1.350     33.690      1.500     34.120
    4.455    0.725    2.293    4.955    0.610    1.009      1.500     14.200      1.500     14.900
    4.955    0.610    1.009    0.669    0.544    5.189      1.500     14.200      2.400     13.340
    4.955    0.610    1.009    2.554    0.508    3.890      1.500     14.900      2.400     15.240
    4.955    0.610    1.009    2.554    0.508    3.890      2.400     15.240      2.100     15.930
    3.029    0.532    3.591    4.896    0.404    0.941      1.500     19.920      2.400     19.570
    4.725    0.756    1.392    1.058    0.545    5.963      1.500     34.120      4.200     33.600
    1.784    0.360    3.719    1.971    0.514    3.552      1.650     31.610      2.400     30.480
    4.725    0.756    1.392    1.784    0.360    3.719      1.650     31.610      2.550     30.570
    0.786    0.317    6.146    0.525    0.494    5.873      1.950      0.090      2.100      0.350
