# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    2.433    0.540    3.075    1.865    0.761    4.672      0.000      1.210      0.900      0.690
    0.524    0.494    5.879    2.433    0.540    3.075      0.000      2.250      0.900      1.390
    1.724    0.683    5.244    1.729    0.682    4.454      0.000      3.810      1.350      3.720
    1.724    0.683    5.244    1.729    0.682    4.454      1.350      3.720      0.450      3.200
    3.117    0.264    3.315    1.724    0.683    5.244      0.000      4.330      1.650      6.150
    3.117    0.264    3.315    0.627    0.887    5.659      0.000      7.100      0.900      7.450
    0.627    0.887    5.659    3.781    0.575    2.989      0.000      9.180      1.350      9.270
    3.781    0.575    2.989    0.668    0.547    5.189      0.000     13.860      2.400     12.300
    4.446    0.723    2.293    0.668    0.547    5.189      0.000     15.240      1.500     14.720
    4.446    0.723    2.293    2.322    1.005    3.980      0.000     15.930      1.950     15.680
    2.322    1.005    3.980    0.012    0.511    6.012      0.000     20.090      0.900     20.440
    0.012    0.511    6.012    3.525    0.395    2.956      0.000     21.650      1.050     20.870
    3.525    0.395    2.956    1.928    0.767    4.157      0.000     23.730      1.500     23.730
    1.928    0.767    4.157    0.742    0.200    5.852      0.000     25.810      0.300     26.330
    1.860    0.473    4.656    1.961    0.514    3.560      0.000     32.390      0.450     32.300
    3.428    0.568    2.316    1.860    0.473    4.656      0.000     34.470      0.900     34.990
    3.428    0.568    2.316    1.670    0.415    4.029      0.000     37.240      0.750     38.360
    6.244    0.837    0.397    1.670    0.415    4.029      0.000     39.660      0.150     39.580
    1.111    0.121    5.020    3.981    0.899    2.344      0.000     42.260      0.300     42.440
    1.961    0.514    3.560    5.178    0.872    1.073      0.150     29.010      1.350     27.970
    6.244    0.837    0.397    1.754    0.679    5.081      0.150     40.100      0.300     39.660
    1.729    0.682    4.454    0.524    0.494    5.879      0.300      3.290      0.450      3.200
    3.981    0.899    2.344    1.754    0.679    5.081      0.300     40.180      0.600     39.660
    0.524    0.494    5.879    1.724    0.683    5.244      0.450      3.200      2.100      2.420
    1.403    0.603    5.527    5.178    0.872    1.073      0.450     27.110      1.350     27.970
    1.961    0.514    3.560    6.274    1.265    0.058      0.450     32.300      2.100     31.350
    6.274    1.265    0.058    1.860    0.473    4.656      0.450     32.300      1.500     32.390
    1.052    0.546    5.959    1.670    0.415    4.029      0.450     39.400      0.750     38.360
    1.052    0.546    5.959    1.754    0.679    5.081      0.450     39.580      0.600     39.660
    1.403    0.603    5.527    1.928    0.767    4.157      0.600     26.670      1.350     26.410
    3.981    0.899    2.344    1.052    0.546    5.959      0.600     39.660      2.250     40.100
    1.052    0.546    5.959    3.428    0.568    2.316      0.750     38.360      1.500     36.200
    2.433    0.540    3.075    0.802    0.310    6.122      0.900      0.690      0.900      1.390
    0.802    0.310    6.122    1.865    0.761    4.672      0.900      0.690      1.650      0.090
    0.802    0.310    6.122    0.524    0.494    5.879      0.900      1.390      2.250      1.990
    0.627    0.887    5.659    1.326    0.600    5.493      0.900      7.450      1.350      9.270
    1.326    0.600    5.493    3.117    0.264    3.315      0.900      7.450      1.350      7.360
    0.012    0.511    6.012    4.879    0.403    0.952      0.900     20.440      1.050     20.870
    4.879    0.403    0.952    2.322    1.005    3.980      0.900     20.440      2.250     19.140
    3.428    0.568    2.316    3.863    0.799    2.704      0.900     34.990      1.500     36.200
    3.863    0.799    2.704    1.860    0.473    4.656      0.900     34.990      1.950     34.380
    3.525    0.395    2.956    4.879    0.403    0.952      1.050     20.870      1.500     20.960
    3.117    0.264    3.315    5.051    0.683    1.730      1.350      7.360      1.650      6.150
    5.051    0.683    1.730    1.326    0.600    5.493      1.350      7.360      2.550      8.230
    3.781    0.575    2.989    1.326    0.600    5.493      1.350      9.270      1.500      9.530
    1.403    0.603    5.527    2.411    0.904    4.290      1.350     26.410      1.950     26.590
    2.411    0.904    4.290    1.928    0.767    4.157      1.350     26.410      2.100     24.080
    1.961    0.514    3.560    1.403    0.603    5.527      1.350     27.970      2.100     27.890
    3.781    0.575    2.989    1.276    0.602    4.728      1.500      9.530      2.400     10.050
    1.276    0.602    4.728    1.326    0.600    5.493      1.500      9.530      2.550      8.920
    4.446    0.723    2.293    4.952    0.613    1.014      1.500     14.720      1.950     15.680
    4.952    0.613    1.014    0.668    0.547    5.189      1.500     14.720      2.400     13.860
    3.525    0.395    2.956    3.024    0.527    3.593      1.500     20.960      1.950     21.740
    3.024    0.527    3.593    4.879    0.403    0.952      1.500     20.960      2.700     20.610
    3.525    0.395    2.956    0.020    0.509    5.486      1.500     23.730      1.950     21.740
    0.020    0.509    5.486    1.928    0.767    4.157      1.500     23.730      2.100     24.080
    1.860    0.473    4.656    4.726    0.754    1.390      1.500     32.390      1.950     34.380
    4.726    0.754    1.390    6.274    1.265    0.058      1.500     32.390      2.100     31.350
    3.863    0.799    2.704    1.052    0.546    5.959      1.500     36.200      2.550     34.900
    5.051    0.683    1.730    1.724    0.683    5.244      1.650      6.150      3.450      6.670
    4.952    0.613    1.014    2.322    1.005    3.980      1.950     15.680      2.400     16.280
    0.020    0.509    5.486    3.024    0.527    3.593      1.950     21.740      3.300     21.130
    2.411    0.904    4.290    2.659    0.480    4.285      1.950     26.590      3.150     25.550
    2.659    0.480    4.285    1.403    0.603    5.527      1.950     26.590      2.100     27.890
    4.726    0.754    1.390    3.863    0.799    2.704      1.950     34.380      2.550     34.900
    2.411    0.904    4.290    0.020    0.509    5.486      2.100     24.080      3.150     25.550
    2.659    0.480    4.285    1.961    0.514    3.560      2.100     27.890      2.700     28.750
    4.726    0.754    1.390    1.961    0.514    3.560      2.100     31.350      2.400     31.000
    4.879    0.403    0.952    0.879    0.902    5.851      2.250     19.140      2.700     19.400
    0.879    0.902    5.851    2.322    1.005    3.980      2.250     19.140      2.400     16.800
    0.802    0.310    6.122    2.318    0.988    4.164      2.400      1.910      3.300      1.390
    0.802    0.310    6.122    2.318    0.988    4.164      3.300      1.390      3.150      0.090
    3.781    0.575    2.989    1.285    0.747    4.731      2.400     12.300      2.550     10.480
    1.285    0.747    4.731    0.668    0.547    5.189      2.400     12.300      2.850     12.380
    0.668    0.547    5.189    4.289    0.727    2.582      2.400     13.860      3.300     13.340
    0.668    0.547    5.189    4.289    0.727    2.582      3.300     13.340      2.850     12.380
    4.289    0.727    2.582    4.952    0.613    1.014      2.400     13.860      3.750     14.640
    2.322    1.005    3.980    0.879    0.902    5.851      2.400     16.280      2.400     16.450
    0.879    0.902    5.851    4.952    0.613    1.014      2.400     16.280      4.200     15.760
    1.961    0.514    3.560    3.841    0.428    2.866      2.400     31.000      2.700     28.750
    3.841    0.428    2.866    4.726    0.754    1.390      2.400     31.000      4.050     31.090
    1.052    0.546    5.959    4.325    0.699    1.780      2.400     39.840      2.550     39.580
    3.981    0.899    2.344    4.325    0.699    1.780      2.400     40.180      2.400     40.360
    2.318    0.988    4.164    1.724    0.683    5.244      2.550      2.170      4.200      3.290
    1.326    0.600    5.493    4.960    0.434    1.966      2.550      8.230      2.550      8.920
    4.960    0.434    1.966    5.051    0.683    1.730      2.550      8.230      3.600      7.620
    4.960    0.434    1.966    1.276    0.602    4.728      2.550      8.920      2.850      9.960
    4.726    0.754    1.390    1.052    0.546    5.959      2.550     34.900      4.200     34.640
    1.276    0.602    4.728    4.849    0.579    2.011      2.700     10.050      2.850      9.960
    4.454    0.412    2.529    4.879    0.403    0.952      2.700     19.400      2.700     20.610
    4.454    0.412    2.529    0.879    0.902    5.851      2.700     19.400      4.950     18.100
    4.454    0.412    2.529    3.024    0.527    3.593      2.700     20.610      3.300     21.130
    3.841    0.428    2.866    2.659    0.480    4.285      2.700     28.750      4.200     27.890
    1.052    0.546    5.959    5.588    0.707    0.234      2.700     39.320      3.300     39.140
    4.325    0.699    1.780    5.664    0.610    1.098      2.700     40.360      3.150     40.100
    6.022    0.287    0.646    3.981    0.899    2.344      2.700     40.880      2.850     40.960
    3.981    0.899    2.344    5.113    0.525    1.426      2.700     42.950      2.850     42.700
    4.960    0.434    1.966    4.849    0.579    2.011      2.850      9.960      4.200      9.180
