# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    4.901    0.399    0.932    4.452    0.410    2.532      2.700     19.570      2.850     18.790
    4.452    0.410    2.532    3.029    0.535    3.586      2.700     19.570      3.300     20.610
    1.054    0.546    5.960    5.139    0.913    0.721      2.700     39.320      4.050     38.540
    4.310    0.727    2.574    1.290    0.753    4.728      2.850     11.860      3.600     11.780
    0.884    0.904    5.846    4.452    0.410    2.532      2.850     18.790      4.950     17.580
    3.977    0.899    2.342    4.817    0.370    1.798      2.850     43.040      3.150     42.700
    0.910    0.945    5.812    3.977    0.899    2.342      3.150     40.620      3.300     40.700
    4.452    0.410    2.532    0.024    0.510    0.769      3.300     20.610      4.650     20.870
    0.024    0.510    0.769    2.651    0.482    4.296      3.300     25.290      3.600     25.290
    0.910    0.945    5.812    5.139    0.913    0.721      3.300     40.180      4.200     39.320
    4.959    0.611    1.007    5.609    0.579    1.449      3.450     15.680      4.050     14.640
    5.609    0.579    1.449    0.884    0.904    5.846      3.450     15.680      5.550     16.020
    3.837    0.428    2.869    2.651    0.482    4.296      3.450     27.970      4.350     27.630
    3.977    0.899    2.342    3.166    0.363    3.386      3.450     41.480      3.450     42.000
    5.058    0.681    1.730    0.887    0.827    4.979      3.600      5.890      3.600      7.100
    0.887    0.827    4.979    1.724    0.683    5.244      3.600      5.890      4.800      5.020
    0.887    0.827    4.979    4.971    0.440    1.961      3.600      7.100      4.050      7.190
    4.870    0.575    1.979    5.792    0.546    0.852      3.600     10.220      4.200     10.050
    1.290    0.753    4.728    5.792    0.546    0.852      3.600     10.220      3.750     10.310
    1.290    0.753    4.728    4.622    0.363    2.244      3.600     11.780      4.200     11.090
