# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    2.457    0.528    3.046    0.530    0.495    5.869      0.000      1.910      1.050      1.130
    2.655    0.478    3.118    0.530    0.495    5.869      0.000      2.770      0.150      3.200
    1.725    0.683    5.244    2.655    0.478    3.118      0.000      3.290      0.150      3.200
    3.114    0.266    3.316    1.725    0.683    5.244      0.000      4.330      2.250      5.630
    0.626    0.887    5.661    3.114    0.266    3.316      0.000      7.450      1.050      7.190
    3.783    0.572    2.988    0.626    0.887    5.661      0.000      9.010      1.350      8.920
    3.783    0.572    2.988    0.671    0.542    5.184      0.000     13.860      2.250     12.040
    0.671    0.542    5.184    4.456    0.715    2.286      0.000     15.420      1.500     14.200
    4.429    0.891    2.382    4.456    0.715    2.286      0.000     15.760      1.500     15.930
    4.429    0.891    2.382    0.012    0.507    6.015      0.000     20.090      1.050     20.180
    0.012    0.507    6.015    3.514    0.396    2.965      0.000     21.650      1.350     21.220
    2.062    0.755    3.738    3.514    0.396    2.965      0.000     22.520      0.600     23.730
    1.926    0.767    4.158    2.062    0.755    3.738      0.000     24.080      0.600     23.730
    2.799    0.652    4.094    1.926    0.767    4.158      0.000     25.810      0.300     26.330
    1.851    0.475    4.659    1.964    0.514    3.557      0.000     32.390      1.650     31.610
    1.851    0.475    4.659    3.434    0.562    2.313      0.000     34.120      1.050     34.900
    3.434    0.562    2.313    1.655    0.423    4.043      0.000     37.240      0.450     37.330
    1.655    0.423    4.043    5.629    0.389    1.391      0.000     39.660      0.300     39.660
    0.530    0.495    5.869    1.725    0.683    5.244      0.150      3.200      2.250      2.170
    5.629    0.389    1.391    3.981    0.900    2.342      0.150     40.100      0.300     39.660
    1.964    0.514    3.557    0.110    0.505    0.148      0.300     28.410      0.600     27.890
    3.981    0.900    2.342    1.655    0.423    4.043      0.300     39.660      0.600     39.320
    2.813    0.655    4.067    1.926    0.767    4.158      0.450     26.590      0.600     26.670
    1.397    0.604    5.533    0.110    0.505    0.148      0.450     27.630      0.600     27.710
    1.655    0.423    4.043    1.053    0.546    4.386      0.450     37.330      0.600     39.320
    1.053    0.546    4.386    3.434    0.562    2.313      0.450     37.330      1.500     36.550
    3.514    0.396    2.965    1.926    0.767    4.158      0.600     23.730      1.650     23.470
    2.813    0.655    4.067    1.397    0.604    5.533      0.600     26.670      0.600     26.850
    1.397    0.604    5.533    1.926    0.767    4.158      0.600     26.670      1.950     26.590
    1.053    0.546    4.386    3.981    0.900    2.342      0.600     39.320      2.250     39.580
    2.457    0.528    3.046    0.808    0.309    6.115      0.750      0.430      1.050      1.130
    1.397    0.604    5.533    1.964    0.514    3.557      0.900     27.890      2.100     27.710
    3.981    0.900    2.342    1.029    0.518    5.891      0.900     42.950      1.500     42.950
    0.808    0.309    6.115    0.530    0.495    5.869      1.050      1.130      2.400      1.730
    0.626    0.887    5.661    5.055    0.684    1.730      1.050      7.190      1.050      7.360
    5.055    0.684    1.730    3.114    0.266    3.316      1.050      7.190      2.250      5.630
    5.055    0.684    1.730    1.320    0.601    5.498      1.050      7.360      2.700      7.970
    1.320    0.601    5.498    0.626    0.887    5.661      1.050      7.360      1.350      8.920
    1.851    0.475    4.659    3.861    0.803    2.703      1.050     34.900      1.650     34.380
    3.861    0.803    2.703    3.434    0.562    2.313      1.050     34.900      1.500     36.030
    1.320    0.601    5.498    3.783    0.572    2.988      1.350      8.920      2.400      9.180
    4.876    0.407    0.961    4.429    0.891    2.382      1.350     20.180      2.400     19.050
    3.514    0.396    2.965    3.035    0.539    3.581      1.350     21.220      2.100     21.480
    3.035    0.539    3.581    0.012    0.507    6.015      1.350     21.220      1.500     20.960
    4.456    0.715    2.286    4.955    0.613    1.013      1.500     14.200      1.500     14.380
    4.955    0.613    1.013    0.671    0.542    5.184      1.500     14.200      2.850     13.600
    4.456    0.715    2.286    4.955    0.613    1.013      1.500     14.720      1.500     15.930
    4.955    0.613    1.013    4.429    0.891    2.382      1.500     15.930      2.550     16.710
    3.434    0.562    2.313    1.053    0.546    4.386      1.500     36.030      1.500     36.200
    1.053    0.546    4.386    3.861    0.803    2.703      1.500     36.030      2.550     34.900
    3.035    0.539    3.581    4.876    0.407    0.961      1.650     20.700      2.700     20.090
    3.514    0.396    2.965    0.023    0.510    5.483      1.650     23.470      2.100     21.480
    0.023    0.510    5.483    1.926    0.767    4.158      1.650     23.470      2.100     24.080
    1.851    0.475    4.659    4.728    0.754    1.389      1.650     31.610      1.650     34.380
    4.728    0.754    1.389    1.964    0.514    3.557      1.650     31.610      2.400     30.830
    4.728    0.754    1.389    3.861    0.803    2.703      1.650     34.380      2.550     34.900
    1.926    0.767    4.158    2.657    0.482    4.285      1.950     26.590      2.400     25.630
    2.657    0.482    4.285    1.397    0.604    5.533      1.950     26.590      2.100     27.710
    0.023    0.510    5.483    3.035    0.539    3.581      2.100     21.480      3.300     21.130
    1.926    0.767    4.158    2.413    0.906    4.285      2.100     24.080      2.400     25.630
    2.413    0.906    4.285    0.023    0.510    5.483      2.100     24.080      3.150     25.550
    1.964    0.514    3.557    2.657    0.482    4.285      2.100     27.710      2.550     28.490
    0.530    0.495    5.869    4.625    0.777    2.240      2.250      2.170      2.400      1.730
    4.625    0.777    2.240    1.725    0.683    5.244      2.250      2.170      4.200      3.290
    5.055    0.684    1.730    1.725    0.683    5.244      2.250      5.630      3.450      6.670
    3.783    0.572    2.988    1.293    0.753    4.724      2.250     12.040      2.850     10.480
    1.293    0.753    4.724    0.671    0.542    5.184      2.250     12.040      3.300     12.300
    4.625    0.777    2.240    0.808    0.309    6.115      2.400      1.730      3.450      0.090
    1.320    0.601    5.498    4.972    0.437    1.958      2.400      9.180      2.700      7.970
    4.972    0.437    1.958    3.783    0.572    2.988      2.400      9.180      2.550      9.440
    4.429    0.891    2.382    0.881    0.905    5.851      2.400     19.050      2.550     16.710
    0.881    0.905    5.851    4.876    0.407    0.961      2.400     19.050      2.550     19.140
    2.657    0.482    4.285    2.413    0.906    4.285      2.400     25.630      3.150     25.550
    3.836    0.431    2.870    1.964    0.514    3.557      2.400     30.830      2.550     28.490
    4.728    0.754    1.389    3.836    0.431    2.870      2.400     30.830      4.200     30.830
    1.053    0.546    4.386    5.143    0.903    0.701      2.400     39.320      3.750     38.880
    4.972    0.437    1.958    4.866    0.586    1.989      2.550      9.440      4.200      9.180
    4.866    0.586    1.989    3.783    0.572    2.988      2.550      9.440      2.850     10.480
    4.955    0.613    1.013    0.881    0.905    5.851      2.550     16.710      3.600     15.930
    4.876    0.407    0.961    4.447    0.411    2.535      2.550     19.140      2.700     20.090
    4.447    0.411    2.535    0.881    0.905    5.851      2.550     19.140      4.800     17.840
    3.836    0.431    2.870    2.657    0.482    4.285      2.550     28.490      4.200     27.890
    4.728    0.754    1.389    1.053    0.546    4.386      2.550     34.900      4.200     34.120
    3.981    0.900    2.342    1.058    0.315    5.692      2.550     42.700      3.300     41.220
    4.972    0.437    1.958    5.055    0.684    1.730      2.700      7.970      3.750      7.880
    4.447    0.411    2.535    3.035    0.539    3.581      2.700     20.090      3.300     21.130
    1.293    0.753    4.724    4.866    0.586    1.989      2.850     10.480      3.450     10.480
    0.671    0.542    5.184    4.288    0.734    2.582      2.850     13.600      3.300     12.300
    4.288    0.734    2.582    4.955    0.613    1.013      2.850     13.600      3.750     14.640
    0.023    0.510    5.483    2.657    0.482    4.285      3.150     25.550      3.750     25.550
    1.293    0.753    4.724    4.288    0.734    2.582      3.300     12.300      4.650     12.040
    4.447    0.411    2.535    0.023    0.510    5.483      3.300     21.130      4.950     21.220
    5.143    0.903    0.701    0.911    0.951    5.815      3.300     40.360      4.200     39.840
    5.055    0.684    1.730    0.890    0.832    4.978      3.450      6.670      4.200      7.450
    0.890    0.832    4.978    1.725    0.683    5.244      3.450      6.670      5.100      5.540
    0.911    0.951    5.815    1.058    0.315    5.692      3.450     41.140      4.200     41.740
    4.866    0.586    1.989    1.393    0.451    4.615      3.600     10.220      4.200     10.050
    1.293    0.753    4.724    4.522    0.387    1.840      3.600     10.570      3.600     10.740
